,Car,Manufacturer,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Model.Year,Origin,honda,ford,toyota,mercedes,bmw
5,torino,ford,17,8,302,140,3449,10.5,70,American,#N/A,3449,#N/A,#N/A,#N/A
6,galaxie 500,ford,15,8,429,198,4341,10,70,American,#N/A,4341,#N/A,#N/A,#N/A
13,torino (sw),ford,NA,8,351,153,4034,11,70,American,#N/A,4034,#N/A,#N/A,#N/A
18,mustang boss 302,ford,NA,8,302,140,3353,8,70,American,#N/A,3353,#N/A,#N/A,#N/A
21,corona mark ii,toyota,24,4,113,95,2372,15,70,Japanese,#N/A,#N/A,2372,#N/A,#N/A
24,maverick,ford,21,6,200,85,2587,16,70,American,#N/A,2587,#N/A,#N/A,#N/A
30,2002,bmw,26,4,121,113,2234,12.5,70,European,#N/A,#N/A,#N/A,#N/A,2234
32,f250,ford,10,8,360,215,4615,14,70,American,#N/A,4615,#N/A,#N/A,#N/A
38,corona,toyota,25,4,113,95,2228,14,71,Japanese,#N/A,#N/A,2228,#N/A,#N/A
39,pinto,ford,25,4,98,NA,2046,19,71,American,#N/A,2046,#N/A,#N/A,#N/A
44,torino 500,ford,19,6,250,88,3302,15.5,71,American,#N/A,3302,#N/A,#N/A,#N/A
48,galaxie 500,ford,14,8,351,153,4154,13.5,71,American,#N/A,4154,#N/A,#N/A,#N/A
51,country squire (sw),ford,13,8,400,170,4746,12,71,American,#N/A,4746,#N/A,#N/A,#N/A
56,mustang,ford,18,6,250,88,3139,14.5,71,American,#N/A,3139,#N/A,#N/A,#N/A
61,corolla 1200,toyota,31,4,71,65,1773,19,71,Japanese,#N/A,#N/A,1773,#N/A,#N/A
65,corona hardtop,toyota,24,4,113,95,2278,15.5,72,Japanese,#N/A,#N/A,2278,#N/A,#N/A
69,pinto runabout,ford,21,4,122,86,2226,16.5,72,American,#N/A,2226,#N/A,#N/A,#N/A
73,galaxie 500,ford,14,8,351,153,4129,13,72,American,#N/A,4129,#N/A,#N/A,#N/A
82,gran torino (sw),ford,13,8,302,140,4294,16,72,American,#N/A,4294,#N/A,#N/A,#N/A
88,pinto (sw),ford,22,4,122,86,2395,16,72,American,#N/A,2395,#N/A,#N/A,#N/A
90,corona mark ii (sw),toyota,23,4,120,97,2506,14.5,72,Japanese,#N/A,#N/A,2506,#N/A,#N/A
